,Type,Primary wire,width primary,height primary,Secondary wire,width secondary,height secondary,Stack mm,Tongue mm,wl mm,ww mm,Total Built,Core Loss,Copper Loss,Temperature rise Cu,Temperature rise Fe,Core weight,Conductor weight,Cost,Primary turns,Secondary turns,MTL Primary,MTL Secondary,TPL Primary,TPL Secondary,Length primary,Length secondary,Resistance primary,Resistance secondary,Cu surface area,Core surface area,Weight of Cu kg,Weight of Fe,Primary current,Primary voltage,Primary power,Secondary current,Secondary voltage,Secondary power
697,S/U,5x3,5.3,3.3,5x3,5.3,3.3,115.0,130.0,125.0,30.0,25.199999999999996,96.7105035,85.75854820415879,66.73163641796755,27.879510672891826,64.473669,8.3827605,24082.039725000002,55,56,55,59,23,23,3025,3304,0.03388,0.0370048,864.4999999999999,2804.5,8.3827605,64.473669,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
32,S/U,5x3,5.3,3.3,5x3,5.3,3.3,100.0,120.0,190.0,30.0,18.2,92.60784,93.25175047258978,58.05775432703778,26.528338759044022,61.73856,9.115208999999998,24094.08855,69,70,48,51,35,35,3312,3570,0.0370944,0.039984,1112.64,2852.0,9.115208999999998,61.73856,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
1,S/U,5x3,5.3,3.3,5x3,5.3,3.3,100.0,120.0,195.0,25.0,18.2,92.60784,93.25175047258978,56.82534992110997,26.60541725712254,61.73856,9.115208999999998,24094.08855,69,70,48,51,36,36,3312,3570,0.0370944,0.039984,1141.92,2842.0,9.115208999999998,61.73856,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
371,S/U,5x3,5.3,3.3,5x3,5.3,3.3,110.0,120.0,150.0,40.0,25.199999999999996,92.88021599999999,92.9536483931947,63.64104955945213,27.112070940994652,61.92014399999999,9.08607,24111.802499999998,63,64,52,56,28,28,3276,3584,0.0366912,0.0401408,992.3999999999999,2786.0,9.08607,61.92014399999999,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
379,S/U,5x3,5.3,3.3,5x3,5.3,3.3,110.0,120.0,145.0,45.0,25.199999999999996,92.88021599999999,92.9536483931947,65.44835623057239,27.023967725957096,61.92014399999999,9.08607,24111.802499999998,63,64,52,56,27,27,3276,3584,0.0366912,0.0401408,959.3199999999998,2797.0,9.08607,61.92014399999999,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
339,S/U,5x3,5.3,3.3,5x3,5.3,3.3,110.0,120.0,160.0,30.0,25.199999999999996,92.88021599999999,92.9536483931947,60.337263237444624,27.290197005551803,61.92014399999999,9.08607,24111.802499999998,63,64,52,56,30,30,3276,3584,0.0366912,0.0401408,1058.56,2764.0,9.08607,61.92014399999999,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
358,S/U,5x3,5.3,3.3,5x3,5.3,3.3,110.0,120.0,155.0,35.0,25.199999999999996,92.88021599999999,92.9536483931947,61.940503405238786,27.200811645125807,61.92014399999999,9.08607,24111.802499999998,63,64,52,56,29,29,3276,3584,0.0366912,0.0401408,1025.4799999999998,2775.0,9.08607,61.92014399999999,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
92,S/U,5x3,5.3,3.3,5x3,5.3,3.3,105.0,120.0,180.0,25.0,21.699999999999996,92.94831,92.84524763705103,57.429425970304706,27.02437114862765,61.965540000000004,9.075474,24113.0853,66,67,49,54,33,33,3234,3618,0.0362208,0.0405216,1122.4799999999998,2799.0,9.075474,61.965540000000004,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
122,S/U,5x3,5.3,3.3,5x3,5.3,3.3,105.0,120.0,175.0,30.0,21.699999999999996,92.94831,92.84524763705103,58.78142854279967,26.94091904279372,61.965540000000004,9.075474,24113.0853,66,67,49,54,33,33,3234,3618,0.0362208,0.0405216,1091.3,2809.5,9.075474,61.965540000000004,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
524,S/U,5x3,5.3,3.3,5x3,5.3,3.3,110.0,135.0,120.0,30.0,25.199999999999996,96.0636105,87.30325897920605,70.04542002871393,27.551038108340922,64.042407,8.533753499999998,24117.667575,56,57,55,59,22,22,3080,3363,0.034496,0.0376656,829.9199999999998,2826.0,8.533753499999998,64.042407,34.78260869565217,230.0,8000.0,34.78260869565217,230.0,8000.0
